timestamp,sentiment_score,avg_skirt_length,coffee_spending
2025-03-01 17:02:26,0.46409955579034934,0.484677791595459,0.4101105845181662
2025-03-01 17:08:42,recent data,0.43988765891050535,0.47281087934970856,0.4101105845181662
2025-03-01 17:15:41,2007-01-01 to 2007-12-01,0.5378665623317033,0.5,0.45566750629722963
2025-03-01 17:17:20,2019-12-25 to 2020-03-01,0.7339195125425525,0.5,0.7143186003683252
2025-03-01 17:18:36,2020-03-01 to 2020-05-01,0.4868857390569961,0.5,0.29577014815451586
2025-03-01 17:20:25,2020-03-01 to 2020-05-01,0.3816190142692588,0.5,0.29577014815451586
2025-03-01 17:20:50,recent data,0.3888900693528769,0.53516353170077,0.4101105845181662
2025-03-01 17:24:28,since 2025-02-28,0.41820723752875966,0.5,0.29577014815451586
